cat,old_name,spec_name,coef1,coef2,coef3
7,NMBVOC,IOLE,0.02772517689,62.1386528,0.0249651
7,NMBVOC,ALDX,0.01243827399,62.1386528,0.0066248
7,NMBVOC,FACD,0.09048907458999997,62.1386528,0.019389
7,NMBVOC,ETHA,0.03026306815,62.1386528,0.0146443
751,PM2_5,PEC,0.153,1.0,0.153
751,PM2_5,POC,0.36,1.0,0.36
751,PM2_5,PSO4,0.0006450000000000001,1.0,0.0006450000000000001
751,PM2_5,PMOTHR,0.486355,1.0,0.486355
752,PM2_5,PEC,0.0261,1.0,0.0261
752,PM2_5,POC,0.107,1.0,0.107
752,PM2_5,PSO4,0.00774,1.0,0.00774
752,PM2_5,PMOTHR,0.85916,1.0,0.85916
78,PM2_5,PMOTHR,1.0,1.0,1.0
8,NMBVOC,IOLE,0.01596007496,54.80080409999999,0.016340200000000003
8,NMBVOC,ETH,0.1369445473,54.80080409999999,0.0701031
8,NMBVOC,ALD2,0.007694690490000001,54.80080409999999,0.0061856
8,NMBVOC,FORM,0.0509997867,54.80080409999999,0.0273196
8,NMBVOC,XYLMN,0.04146494344,54.80080409999999,0.0807143
8,NMBVOC,TOL,0.03967596218,54.80080409999999,0.0669862
8,NMBVOC,OLE,0.07795022428,54.80080409999999,0.0395962
8,NMBVOC,PAR,0.75511819124,54.80080409999999,0.1975658
8,NMBVOC,ETHA,0.01503093634,54.80080409999999,0.008247399999999998
8,NMBVOC,ALDX,0.00683575636,54.80080409999999,0.0046392
8,NMBVOC,FACD,0.08668103814,54.80080409999999,0.0256014
9,NMBVOC,FACD,0.39249882102,40.74000170000001,0.1623565
9,NMBVOC,ETHA,0.35604721308,40.74000170000001,0.262788
9,NMBVOC,ETOH,0.01685311086,40.74000170000001,0.0190572
9,NMBVOC,MEOH,0.00637641689,40.74000170000001,0.005015100000000001
9,NMBVOC,ETH,0.0012440291499999998,40.74000170000001,0.004012
9,NMBVOC,FORM,0.238159284,40.74000170000001,0.175527
9,NMBVOC,TERP,0.004199216610000001,40.74000170000001,0.0140421
9,NMBVOC,XYLMN,0.00461876811,40.74000170000001,0.0120361
9,NMBVOC,TOL,0.01067742612,40.74000170000001,0.0242951
9,NMBVOC,OLE,0.00260803592,40.74000170000001,0.0017959
9,NMBVOC,PAR,0.70966422558,40.74000170000001,0.2588323
9,NMBVOC,IOLE,0.0022300072,40.74000170000001,0.0030711
#TAb 4 z (odhad) Characterization of Volatile Organic Compound (VOC) Emissions from Swine Manure Biogas		
# asi to nie je dobre naskalovane na molove hmotnosti, neskor upravit
10,NMBVOC,ETOH,0.2961593293,47.36136466,0.2961593293 
10,NMBVOC,OLE,0.07674105622,47.36136466,0.07674105622
10,NMBVOC,ACET,0.06902402941,47.36136466,0.06902402941
10,NMBVOC,IOLE,0.0316892316,47.36136466,0.0316892316
# profil 92001  https://www.airqualitymodeling.org/index.php/CMAQv5.0_GSPRO_Example 
#10,"PM2_5","POC",0.0308,1.0,0.0308
#10,"PM2_5","PEC",2.0E-4,1.0,2.0E-4
#10,"PM2_5","PNH4",5.5E-4,1.0,5.5E-4
#10,"PM2_5","PNO3",5.66E-4,1.0,5.66E-4
#10,"PM2_5","PSO4",0.0011,1.0,0.0011
#10,"PM2_5","PNCOM",0.0123,1.0,0.0123
#10,"PM2_5","PH2O",3.96E-4,1.0,3.96E-4
#10,"PM2_5","PNA",0.0014,1.0,0.0014
#10,"PM2_5","PMG",7.66E-4,1.0,7.66E-4
#10,"PM2_5","PAL",0.0894,1.0,0.0894
#10,"PM2_5","PSI",0.244,1.0,0.244
#10,"PM2_5","PCL",0.00135,1.0,0.00135
#10,"PM2_5","PK",0.0205,1.0,0.0205
#10,"PM2_5","PCA",0.0245,1.0,0.0245
#10,"PM2_5","PTI",0.0052,1.0,0.0052
#10,"PM2_5","PMN",0.0013,1.0,0.0013
#10,"PM2_5","PFE",0.0577,1.0,0.0577
#10,"PM2_5","PMOTHR",0.507972,1.0,0.507972
1,PM2_5,PMOTHR,1.0,1.0,1.0
2,PM2_5,PMOTHR,1.0,1.0,1.0
3,PM2_5,PMOTHR,1.0,1.0,1.0
4,PM2_5,PMOTHR,1.0,1.0,1.0
5,PM2_5,PMOTHR,1.0,1.0,1.0
6,PM2_5,PMOTHR,1.0,1.0,1.0
7,PM2_5,PMOTHR,1.0,1.0,1.0
9,PM2_5,PMOTHR,1.0,1.0,1.0
10,PM2_5,PMOTHR,1.0,1.0,1.0
