"category","expression"
3002000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3102020200,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3202020200,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3003000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3004000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3004100000,"PM_CPRM=PM10-PM2_5, PM2_5_FPRM=PM2_5"
3005000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3006000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
3008000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0.03*NMVOC, NMBVOC=NMVOC-BZN"
3009000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
30010000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
30011000000,"PM_CPRM=PM10-PM2_5, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
2002000000,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, PM_CPRM=PM10-PM2_5, PM2_5_EC=0.053*PM2_5, PM2_5_OC=0.285*PM2_5, PM2_5_FPRM=PM2_5-PM2_5_EC-PM2_5_OC"
2002020200,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, PM_CPRM=PM10-PM2_5, PM2_5_EC=0.25*PM2_5-0.25*PM2_5_OC, PM2_5_NA=0.018*PM2_5-0.018*PM2_5_OC, PM2_5_FPRM=PM2_5-PM2_5_OC-PM2_5_EC-PM2_5_NA"
2002020201,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
2002020202,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
2002020203,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
2002020204,"NO2=0.05*NOX, NO=0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
